comparates,Stat|STL–AC,Transformer|STL–AC,Stat|Direct,Transformer|STL–SN,Stat|STL–SN,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–AC,Neural|STL–SN,ML|STL–AC,ML|STL–SN
Stat|STL–AC,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0038
1605 / 0 / 1395
0.0002","-0.0140
1226 / 0 / 1774
 $\leq$ 1e-04","-0.0462
1954 / 0 / 1046
 $\leq$ 1e-04","-0.0464
1918 / 0 / 1082
 $\leq$ 1e-04","-0.0914
2137 / 0 / 863
 $\leq$ 1e-04","-0.0971
2135 / 0 / 865
 $\leq$ 1e-04","-0.1023
2141 / 0 / 859
 $\leq$ 1e-04","-0.1985
2191 / 0 / 809
 $\leq$ 1e-04","-0.2138
2283 / 0 / 717
 $\leq$ 1e-04","-0.2499
2129 / 0 / 871
 $\leq$ 1e-04","-0.2940
2289 / 0 / 711
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0038
1395 / 0 / 1605
0.0002",-,"-0.0102
1227 / 0 / 1773
 $\leq$ 1e-04","-0.0424
1923 / 0 / 1077
 $\leq$ 1e-04","-0.0426
1877 / 0 / 1123
 $\leq$ 1e-04","-0.0875
2115 / 0 / 885
 $\leq$ 1e-04","-0.0932
2120 / 0 / 880
 $\leq$ 1e-04","-0.0985
2115 / 0 / 885
 $\leq$ 1e-04","-0.1947
2139 / 0 / 861
 $\leq$ 1e-04","-0.2100
2264 / 0 / 736
 $\leq$ 1e-04","-0.2461
2085 / 0 / 915
 $\leq$ 1e-04","-0.2902
2252 / 0 / 748
 $\leq$ 1e-04"
Stat|Direct,"0.0140
1774 / 0 / 1226
 $\leq$ 1e-04","0.0102
1773 / 0 / 1227
 $\leq$ 1e-04",-,"-0.0322
1939 / 0 / 1061
 $\leq$ 1e-04","-0.0324
1936 / 0 / 1064
 $\leq$ 1e-04","-0.0774
2024 / 2 / 974
 $\leq$ 1e-04","-0.0831
2042 / 2 / 956
 $\leq$ 1e-04","-0.0883
2049 / 2 / 949
 $\leq$ 1e-04","-0.1846
2111 / 0 / 889
 $\leq$ 1e-04","-0.1998
2178 / 0 / 822
 $\leq$ 1e-04","-0.2359
2107 / 0 / 893
 $\leq$ 1e-04","-0.2800
2211 / 0 / 789
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0462
1046 / 0 / 1954
 $\leq$ 1e-04","0.0424
1077 / 0 / 1923
 $\leq$ 1e-04","0.0322
1061 / 0 / 1939
 $\leq$ 1e-04",-,"-0.0002
1315 / 1 / 1684
 $\leq$ 1e-04","-0.0452
1973 / 0 / 1027
 $\leq$ 1e-04","-0.0509
1975 / 0 / 1025
 $\leq$ 1e-04","-0.0562
1960 / 0 / 1040
 $\leq$ 1e-04","-0.1524
1888 / 0 / 1112
 $\leq$ 1e-04","-0.1676
2095 / 0 / 905
 $\leq$ 1e-04","-0.2037
1876 / 0 / 1124
 $\leq$ 1e-04","-0.2479
2088 / 0 / 912
 $\leq$ 1e-04"
Stat|STL–SN,"0.0464
1082 / 0 / 1918
 $\leq$ 1e-04","0.0426
1123 / 0 / 1877
 $\leq$ 1e-04","0.0324
1064 / 0 / 1936
 $\leq$ 1e-04","0.0002
1684 / 1 / 1315
 $\leq$ 1e-04",-,"-0.0450
1969 / 0 / 1031
 $\leq$ 1e-04","-0.0507
1981 / 0 / 1019
 $\leq$ 1e-04","-0.0559
1985 / 0 / 1015
 $\leq$ 1e-04","-0.1522
1884 / 0 / 1116
 $\leq$ 1e-04","-0.1674
2102 / 0 / 898
 $\leq$ 1e-04","-0.2035
1896 / 0 / 1104
 $\leq$ 1e-04","-0.2476
2096 / 0 / 904
 $\leq$ 1e-04"
Transformer|Direct,"0.0914
863 / 0 / 2137
 $\leq$ 1e-04","0.0875
885 / 0 / 2115
 $\leq$ 1e-04","0.0774
974 / 2 / 2024
 $\leq$ 1e-04","0.0452
1027 / 0 / 1973
 $\leq$ 1e-04","0.0450
1031 / 0 / 1969
 $\leq$ 1e-04",-,"-0.0057
1703 / 13 / 1284
 $\leq$ 1e-04","-0.0110
1703 / 11 / 1286
 $\leq$ 1e-04","-0.1072
1618 / 0 / 1382
 $\leq$ 1e-04","-0.1224
1680 / 0 / 1320
 $\leq$ 1e-04","-0.1586
1617 / 0 / 1383
 $\leq$ 1e-04","-0.2027
1863 / 0 / 1137
 $\leq$ 1e-04"
ML|Direct,"0.0971
865 / 0 / 2135
 $\leq$ 1e-04","0.0932
880 / 0 / 2120
 $\leq$ 1e-04","0.0831
956 / 2 / 2042
 $\leq$ 1e-04","0.0509
1025 / 0 / 1975
 $\leq$ 1e-04","0.0507
1019 / 0 / 1981
 $\leq$ 1e-04","0.0057
1284 / 13 / 1703
 $\leq$ 1e-04",-,"-0.0053
1700 / 11 / 1289
 $\leq$ 1e-04","-0.1015
1589 / 0 / 1411
 $\leq$ 1e-04","-0.1167
1656 / 0 / 1344
 $\leq$ 1e-04","-0.1529
1574 / 0 / 1426
 $\leq$ 1e-04","-0.1970
1819 / 0 / 1181
 $\leq$ 1e-04"
Neural|Direct,"0.1023
859 / 0 / 2141
 $\leq$ 1e-04","0.0985
885 / 0 / 2115
 $\leq$ 1e-04","0.0883
949 / 2 / 2049
 $\leq$ 1e-04","0.0562
1040 / 0 / 1960
 $\leq$ 1e-04","0.0559
1015 / 0 / 1985
 $\leq$ 1e-04","0.0110
1286 / 11 / 1703
 $\leq$ 1e-04","0.0053
1289 / 11 / 1700
 $\leq$ 1e-04",-,"-0.0962
1555 / 0 / 1445
 $\leq$ 1e-04","-0.1115
1624 / 0 / 1376
 $\leq$ 1e-04","-0.1476
1530 / 0 / 1470
 $\leq$ 1e-04","-0.1917
1797 / 0 / 1203
 $\leq$ 1e-04"
Neural|STL–AC,"0.1985
809 / 0 / 2191
 $\leq$ 1e-04","0.1947
861 / 0 / 2139
 $\leq$ 1e-04","0.1846
889 / 0 / 2111
 $\leq$ 1e-04","0.1524
1112 / 0 / 1888
 $\leq$ 1e-04","0.1522
1116 / 0 / 1884
 $\leq$ 1e-04","0.1072
1382 / 0 / 1618
 $\leq$ 1e-04","0.1015
1411 / 0 / 1589
 $\leq$ 1e-04","0.0962
1445 / 0 / 1555
 $\leq$ 1e-04",-,"-0.0152
1611 / 0 / 1389
 $\leq$ 1e-04","-0.0514
1911 / 0 / 1089
 $\leq$ 1e-04","-0.0955
2150 / 0 / 850
 $\leq$ 1e-04"
Neural|STL–SN,"0.2138
717 / 0 / 2283
 $\leq$ 1e-04","0.2100
736 / 0 / 2264
 $\leq$ 1e-04","0.1998
822 / 0 / 2178
 $\leq$ 1e-04","0.1676
905 / 0 / 2095
 $\leq$ 1e-04","0.1674
898 / 0 / 2102
 $\leq$ 1e-04","0.1224
1320 / 0 / 1680
 $\leq$ 1e-04","0.1167
1344 / 0 / 1656
 $\leq$ 1e-04","0.1115
1376 / 0 / 1624
 $\leq$ 1e-04","0.0152
1389 / 0 / 1611
 $\leq$ 1e-04",-,"-0.0361
1631 / 0 / 1369
 $\leq$ 1e-04","-0.0802
2126 / 0 / 874
 $\leq$ 1e-04"
ML|STL–AC,"0.2499
871 / 0 / 2129
 $\leq$ 1e-04","0.2461
915 / 0 / 2085
 $\leq$ 1e-04","0.2359
893 / 0 / 2107
 $\leq$ 1e-04","0.2037
1124 / 0 / 1876
 $\leq$ 1e-04","0.2035
1104 / 0 / 1896
 $\leq$ 1e-04","0.1586
1383 / 0 / 1617
 $\leq$ 1e-04","0.1529
1426 / 0 / 1574
 $\leq$ 1e-04","0.1476
1470 / 0 / 1530
 $\leq$ 1e-04","0.0514
1089 / 0 / 1911
 $\leq$ 1e-04","0.0361
1369 / 0 / 1631
 $\leq$ 1e-04",-,"-0.0441
2050 / 0 / 950
 $\leq$ 1e-04"
ML|STL–SN,"0.2940
711 / 0 / 2289
 $\leq$ 1e-04","0.2902
748 / 0 / 2252
 $\leq$ 1e-04","0.2800
789 / 0 / 2211
 $\leq$ 1e-04","0.2479
912 / 0 / 2088
 $\leq$ 1e-04","0.2476
904 / 0 / 2096
 $\leq$ 1e-04","0.2027
1137 / 0 / 1863
 $\leq$ 1e-04","0.1970
1181 / 0 / 1819
 $\leq$ 1e-04","0.1917
1203 / 0 / 1797
 $\leq$ 1e-04","0.0955
850 / 0 / 2150
 $\leq$ 1e-04","0.0802
874 / 0 / 2126
 $\leq$ 1e-04","0.0441
950 / 0 / 2050
 $\leq$ 1e-04","If in bold, then
p-value < 0.05"
