feature,feature_label,week4_group,bucket,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
spectral_entropy,Spectral entropy,combined_monthly,High,transformer,without_mstl,334,42,0.12574850299401197,0.879194806785328,0.9485626224963576,0.9756415245115727,0.8804910730427666,910.3556840147747,618.232164171007,0.5175482368596142,0.5
spectral_entropy,Spectral entropy,combined_monthly,High,statistical,without_mstl,334,96,0.2874251497005988,0.8858563327376724,0.8547300088578965,0.9139335187050278,0.8530391053303423,876.3028145455185,619.3234834967823,0.39094034153914387,0.4722222222222222
spectral_entropy,Spectral entropy,combined_monthly,High,mlforecast,without_mstl,334,57,0.17065868263473055,0.9066650074896953,0.8668327885801903,0.9808172686734297,0.8644682728019669,879.6914492290077,622.8986135354227,0.51916999334664,0.5
spectral_entropy,Spectral entropy,combined_monthly,High,transformer,with_mstl,334,12,0.03592814371257485,0.9542054418939714,0.8962095329596769,0.973157726532756,0.931970758521891,976.1577958592968,695.4125502796511,0.5550565535595475,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,High,neuralforecast,without_mstl,334,75,0.2245508982035928,0.9723299935141262,0.9210549628167936,1.0545080936287474,0.9139965195596218,990.7926834273494,685.7127685546875,0.5289975604346863,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,High,mlforecast,with_mstl,334,14,0.041916167664670656,1.0008846673531688,0.923089105432713,1.0363690193926736,0.957654134978132,1004.2909019100898,713.8829059313042,0.5536011310711909,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,High,neuralforecast,with_mstl,334,20,0.059880239520958084,1.0094403819090836,0.9125950147927172,1.0154973937176304,0.9449754761944876,1013.2345862965681,706.2934279918452,0.5597139055222888,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,High,statistical,with_mstl,334,20,0.059880239520958084,1.0187975091927108,0.9007489181201112,1.0040995225378464,0.9466065931763616,984.5411526117887,710.6351659697625,0.5591594588600577,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,High,baseline,without_mstl,334,12,0.03592814371257485,1.076285927221393,0.9471011593330998,1.0,1.0,1019.913004238095,722.2222222222222,0.5459081836327345,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,Low,transformer,with_mstl,333,19,0.057057057057057055,1.0004677328919673,0.988286284638122,0.8227387224728593,0.7608472009756323,449.23129419041965,220.5599256521242,0.546792328042328,0.5277777777777778
spectral_entropy,Spectral entropy,combined_monthly,Low,statistical,without_mstl,333,111,0.3333333333333333,1.0147923551951818,0.9410765415697732,0.9029082118974066,0.7161553780929526,393.57791024225276,191.4165599643396,0.5054563492063492,0.5555555555555556
spectral_entropy,Spectral entropy,combined_monthly,Low,neuralforecast,with_mstl,333,31,0.09309309309309309,1.0317121997490495,0.9507190989936725,0.8347162313599471,0.7805685448797524,455.08320462793944,221.53019161002402,0.5542879188712522,0.5555555555555556
