comparates,Stat|STL–SN,Transformer|STL–SN,Stat|Direct,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–SN,ML|STL–AC
Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0060
2958 / 1 / 1490
 $\leq$ 1e-04","-0.0149
1712 / 0 / 2737
 $\leq$ 1e-04","-0.0260
1971 / 0 / 2478
 $\leq$ 1e-04","-0.0386
2076 / 0 / 2373
 $\leq$ 1e-04","-0.0800
3136 / 0 / 1313
 $\leq$ 1e-04","-0.0820
3135 / 0 / 1314
 $\leq$ 1e-04","-0.0858
3135 / 0 / 1314
 $\leq$ 1e-04","-0.2136
3336 / 0 / 1113
 $\leq$ 1e-04","-0.2240
3112 / 0 / 1337
 $\leq$ 1e-04","-0.3047
3307 / 0 / 1142
 $\leq$ 1e-04","-0.3065
3156 / 0 / 1293
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0060
1490 / 1 / 2958
 $\leq$ 1e-04",-,"-0.0089
1683 / 0 / 2766
 $\leq$ 1e-04","-0.0199
1766 / 0 / 2683
 $\leq$ 1e-04","-0.0326
1832 / 0 / 2617
 $\leq$ 1e-04","-0.0740
3094 / 0 / 1355
 $\leq$ 1e-04","-0.0760
3101 / 0 / 1348
 $\leq$ 1e-04","-0.0798
3101 / 0 / 1348
 $\leq$ 1e-04","-0.2076
3332 / 0 / 1117
 $\leq$ 1e-04","-0.2179
3062 / 0 / 1387
 $\leq$ 1e-04","-0.2987
3321 / 0 / 1128
 $\leq$ 1e-04","-0.3005
3143 / 0 / 1306
 $\leq$ 1e-04"
Stat|Direct,"0.0149
2737 / 0 / 1712
 $\leq$ 1e-04","0.0089
2766 / 0 / 1683
 $\leq$ 1e-04",-,"-0.0111
2655 / 0 / 1794
 $\leq$ 1e-04","-0.0237
2673 / 0 / 1776
 $\leq$ 1e-04","-0.0651
2978 / 2 / 1469
 $\leq$ 1e-04","-0.0671
2987 / 2 / 1460
 $\leq$ 1e-04","-0.0710
2992 / 3 / 1454
 $\leq$ 1e-04","-0.1987
3203 / 0 / 1246
 $\leq$ 1e-04","-0.2091
3129 / 0 / 1320
 $\leq$ 1e-04","-0.2898
3256 / 0 / 1193
 $\leq$ 1e-04","-0.2917
3173 / 0 / 1276
 $\leq$ 1e-04"
Stat|STL–AC,"0.0260
2478 / 0 / 1971
 $\leq$ 1e-04","0.0199
2683 / 0 / 1766
 $\leq$ 1e-04","0.0111
1794 / 0 / 2655
 $\leq$ 1e-04",-,"-0.0126
2633 / 0 / 1816
 $\leq$ 1e-04","-0.0540
3168 / 0 / 1281
 $\leq$ 1e-04","-0.0560
3164 / 0 / 1285
 $\leq$ 1e-04","-0.0599
3172 / 0 / 1277
 $\leq$ 1e-04","-0.1876
3392 / 0 / 1057
 $\leq$ 1e-04","-0.1980
3357 / 0 / 1092
 $\leq$ 1e-04","-0.2787
3381 / 0 / 1068
 $\leq$ 1e-04","-0.2806
3272 / 0 / 1177
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0386
2373 / 0 / 2076
 $\leq$ 1e-04","0.0326
2617 / 0 / 1832
 $\leq$ 1e-04","0.0237
1776 / 0 / 2673
 $\leq$ 1e-04","0.0126
1816 / 0 / 2633
 $\leq$ 1e-04",-,"-0.0414
3135 / 0 / 1314
 $\leq$ 1e-04","-0.0434
3136 / 0 / 1313
 $\leq$ 1e-04","-0.0472
3132 / 0 / 1317
 $\leq$ 1e-04","-0.1750
3373 / 0 / 1076
 $\leq$ 1e-04","-0.1853
3275 / 0 / 1174
 $\leq$ 1e-04","-0.2661
3337 / 0 / 1112
 $\leq$ 1e-04","-0.2679
3229 / 0 / 1220
 $\leq$ 1e-04"
Transformer|Direct,"0.0800
1313 / 0 / 3136
 $\leq$ 1e-04","0.0740
1355 / 0 / 3094
 $\leq$ 1e-04","0.0651
1469 / 2 / 2978
 $\leq$ 1e-04","0.0540
1281 / 0 / 3168
 $\leq$ 1e-04","0.0414
1314 / 0 / 3135
 $\leq$ 1e-04",-,"-0.0020
3020 / 39 / 1390
 $\leq$ 1e-04","-0.0058
3022 / 21 / 1406
 $\leq$ 1e-04","-0.1336
2503 / 0 / 1946
 $\leq$ 1e-04","-0.1439
2268 / 0 / 2181
 $\leq$ 1e-04","-0.2247
3017 / 0 / 1432
 $\leq$ 1e-04","-0.2265
2769 / 0 / 1680
 $\leq$ 1e-04"
ML|Direct,"0.0820
1314 / 0 / 3135
 $\leq$ 1e-04","0.0760
1348 / 0 / 3101
 $\leq$ 1e-04","0.0671
1460 / 2 / 2987
 $\leq$ 1e-04","0.0560
1285 / 0 / 3164
 $\leq$ 1e-04","0.0434
1313 / 0 / 3136
 $\leq$ 1e-04","0.0020
1390 / 39 / 3020
 $\leq$ 1e-04",-,"-0.0038
3020 / 21 / 1408
 $\leq$ 1e-04","-0.1316
2463 / 0 / 1986
 $\leq$ 1e-04","-0.1419
2255 / 0 / 2194
 $\leq$ 1e-04","-0.2227
2991 / 0 / 1458
 $\leq$ 1e-04","-0.2245
2752 / 0 / 1697
 $\leq$ 1e-04"
Neural|Direct,"0.0858
1314 / 0 / 3135
 $\leq$ 1e-04","0.0798
1348 / 0 / 3101
 $\leq$ 1e-04","0.0710
1454 / 3 / 2992
 $\leq$ 1e-04","0.0599
1277 / 0 / 3172
 $\leq$ 1e-04","0.0472
1317 / 0 / 3132
 $\leq$ 1e-04","0.0058
1406 / 21 / 3022
 $\leq$ 1e-04","0.0038
1408 / 21 / 3020
 $\leq$ 1e-04",-,"-0.1278
2418 / 0 / 2031
 $\leq$ 1e-04","-0.1381
2213 / 0 / 2236
 $\leq$ 1e-04","-0.2189
2960 / 0 / 1489
 $\leq$ 1e-04","-0.2207
2738 / 0 / 1711
 $\leq$ 1e-04"
Neural|STL–SN,"0.2136
1113 / 0 / 3336
 $\leq$ 1e-04","0.2076
1117 / 0 / 3332
 $\leq$ 1e-04","0.1987
1246 / 0 / 3203
 $\leq$ 1e-04","0.1876
1057 / 0 / 3392
 $\leq$ 1e-04","0.1750
1076 / 0 / 3373
 $\leq$ 1e-04","0.1336
1946 / 0 / 2503
 $\leq$ 1e-04","0.1316
1986 / 0 / 2463
 $\leq$ 1e-04","0.1278
2031 / 0 / 2418
 $\leq$ 1e-04",-,"-0.0103
1690 / 0 / 2759
 $\leq$ 1e-04","-0.0911
3237 / 0 / 1212
 $\leq$ 1e-04","-0.0929
2837 / 0 / 1612
 $\leq$ 1e-04"
Neural|STL–AC,"0.2240
1337 / 0 / 3112
 $\leq$ 1e-04","0.2179
1387 / 0 / 3062
 $\leq$ 1e-04","0.2091
1320 / 0 / 3129
 $\leq$ 1e-04","0.1980
1092 / 0 / 3357
 $\leq$ 1e-04","0.1853
1174 / 0 / 3275
 $\leq$ 1e-04","0.1439
2181 / 0 / 2268
 $\leq$ 1e-04","0.1419
2194 / 0 / 2255
 $\leq$ 1e-04","0.1381
2236 / 0 / 2213
 $\leq$ 1e-04","0.0103
2759 / 0 / 1690
 $\leq$ 1e-04",-,"-0.0808
3326 / 0 / 1123
 $\leq$ 1e-04","-0.0826
3179 / 0 / 1270
 $\leq$ 1e-04"
ML|STL–SN,"0.3047
1142 / 0 / 3307
 $\leq$ 1e-04","0.2987
1128 / 0 / 3321
 $\leq$ 1e-04","0.2898
1193 / 0 / 3256
 $\leq$ 1e-04","0.2787
1068 / 0 / 3381
 $\leq$ 1e-04","0.2661
1112 / 0 / 3337
 $\leq$ 1e-04","0.2247
1432 / 0 / 3017
 $\leq$ 1e-04","0.2227
1458 / 0 / 2991
 $\leq$ 1e-04","0.2189
1489 / 0 / 2960
 $\leq$ 1e-04","0.0911
1212 / 0 / 3237
 $\leq$ 1e-04","0.0808
1123 / 0 / 3326
 $\leq$ 1e-04",-,"-0.0018
1786 / 0 / 2663
 $\leq$ 1e-04"
ML|STL–AC,"0.3065
1293 / 0 / 3156
 $\leq$ 1e-04","0.3005
1306 / 0 / 3143
 $\leq$ 1e-04","0.2917
1276 / 0 / 3173
 $\leq$ 1e-04","0.2806
1177 / 0 / 3272
 $\leq$ 1e-04","0.2679
1220 / 0 / 3229
 $\leq$ 1e-04","0.2265
1680 / 0 / 2769
 $\leq$ 1e-04","0.2245
1697 / 0 / 2752
 $\leq$ 1e-04","0.2207
1711 / 0 / 2738
 $\leq$ 1e-04","0.0929
1612 / 0 / 2837
 $\leq$ 1e-04","0.0826
1270 / 0 / 3179
 $\leq$ 1e-04","0.0018
2663 / 0 / 1786
 $\leq$ 1e-04","If in bold, then
p-value < 0.05"
