comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0087
5592 / 0 / 3357
 $\leq$ 1e-04","-0.0112
5644 / 0 / 3305
 $\leq$ 1e-04","-0.0280
5432 / 0 / 3517
 $\leq$ 1e-04","-0.0353
5489 / 0 / 3460
 $\leq$ 1e-04","-0.0739
6089 / 2 / 2858
 $\leq$ 1e-04","-0.0782
6129 / 2 / 2818
 $\leq$ 1e-04","-0.0790
6122 / 3 / 2824
 $\leq$ 1e-04","-0.1879
6437 / 0 / 2512
 $\leq$ 1e-04","-0.1976
6324 / 0 / 2625
 $\leq$ 1e-04","-0.2693
6395 / 0 / 2554
 $\leq$ 1e-04","-0.2725
6585 / 0 / 2364
 $\leq$ 1e-04"
Stat|STL–SN,"0.0087
3357 / 0 / 5592
 $\leq$ 1e-04",-,"-0.0025
5539 / 1 / 3409
 $\leq$ 1e-04","-0.0193
3811 / 0 / 5138
 $\leq$ 1e-04","-0.0266
4096 / 0 / 4853
 $\leq$ 1e-04","-0.0652
6086 / 0 / 2863
 $\leq$ 1e-04","-0.0695
6089 / 0 / 2860
 $\leq$ 1e-04","-0.0703
6102 / 0 / 2847
 $\leq$ 1e-04","-0.1791
6430 / 0 / 2519
 $\leq$ 1e-04","-0.1889
5861 / 0 / 3088
 $\leq$ 1e-04","-0.2606
5987 / 0 / 2962
 $\leq$ 1e-04","-0.2638
6447 / 0 / 2502
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0112
3305 / 0 / 5644
 $\leq$ 1e-04","0.0025
3409 / 1 / 5539
 $\leq$ 1e-04",-,"-0.0168
3588 / 0 / 5361
 $\leq$ 1e-04","-0.0241
3803 / 0 / 5146
 $\leq$ 1e-04","-0.0626
6033 / 0 / 2916
 $\leq$ 1e-04","-0.0670
6050 / 0 / 2899
 $\leq$ 1e-04","-0.0678
6051 / 0 / 2898
 $\leq$ 1e-04","-0.1766
6440 / 0 / 2509
 $\leq$ 1e-04","-0.1864
5819 / 0 / 3130
 $\leq$ 1e-04","-0.2581
5980 / 0 / 2969
 $\leq$ 1e-04","-0.2613
6479 / 0 / 2470
 $\leq$ 1e-04"
Stat|STL–AC,"0.0280
3517 / 0 / 5432
 $\leq$ 1e-04","0.0193
5138 / 0 / 3811
 $\leq$ 1e-04","0.0168
5361 / 0 / 3588
 $\leq$ 1e-04",-,"-0.0073
5295 / 1 / 3653
 $\leq$ 1e-04","-0.0458
6205 / 0 / 2744
 $\leq$ 1e-04","-0.0502
6221 / 0 / 2728
 $\leq$ 1e-04","-0.0510
6219 / 0 / 2730
 $\leq$ 1e-04","-0.1598
6590 / 0 / 2359
 $\leq$ 1e-04","-0.1696
6469 / 0 / 2480
 $\leq$ 1e-04","-0.2413
6314 / 0 / 2635
 $\leq$ 1e-04","-0.2445
6626 / 0 / 2323
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0353
3460 / 0 / 5489
 $\leq$ 1e-04","0.0266
4853 / 0 / 4096
 $\leq$ 1e-04","0.0241
5146 / 0 / 3803
 $\leq$ 1e-04","0.0073
3653 / 1 / 5295
 $\leq$ 1e-04",-,"-0.0385
6171 / 0 / 2778
 $\leq$ 1e-04","-0.0429
6192 / 0 / 2757
 $\leq$ 1e-04","-0.0437
6177 / 0 / 2772
 $\leq$ 1e-04","-0.1525
6557 / 0 / 2392
 $\leq$ 1e-04","-0.1623
6340 / 0 / 2609
 $\leq$ 1e-04","-0.2340
6316 / 0 / 2633
 $\leq$ 1e-04","-0.2372
6594 / 0 / 2355
 $\leq$ 1e-04"
Transformer|Direct,"0.0739
2858 / 2 / 6089
 $\leq$ 1e-04","0.0652
2863 / 0 / 6086
 $\leq$ 1e-04","0.0626
2916 / 0 / 6033
 $\leq$ 1e-04","0.0458
2744 / 0 / 6205
 $\leq$ 1e-04","0.0385
2778 / 0 / 6171
 $\leq$ 1e-04",-,"-0.0043
5334 / 39 / 3576
 $\leq$ 1e-04","-0.0051
5350 / 21 / 3578
 $\leq$ 1e-04","-0.1140
4897 / 0 / 4052
 $\leq$ 1e-04","-0.1238
4461 / 0 / 4488
 $\leq$ 1e-04","-0.1955
5071 / 0 / 3878
 $\leq$ 1e-04","-0.1986
5641 / 0 / 3308
 $\leq$ 1e-04"
ML|Direct,"0.0782
2818 / 2 / 6129
 $\leq$ 1e-04","0.0695
2860 / 0 / 6089
 $\leq$ 1e-04","0.0670
2899 / 0 / 6050
 $\leq$ 1e-04","0.0502
2728 / 0 / 6221
 $\leq$ 1e-04","0.0429
2757 / 0 / 6192
 $\leq$ 1e-04","0.0043
3576 / 39 / 5334
 $\leq$ 1e-04",-,"-0.0008
5232 / 21 / 3696
 $\leq$ 1e-04","-0.1097
4825 / 0 / 4124
 $\leq$ 1e-04","-0.1194
4388 / 0 / 4561
 $\leq$ 1e-04","-0.1911
5028 / 0 / 3921
 $\leq$ 1e-04","-0.1943
5617 / 0 / 3332
 $\leq$ 1e-04"
Neural|Direct,"0.0790
2824 / 3 / 6122
 $\leq$ 1e-04","0.0703
2847 / 0 / 6102
 $\leq$ 1e-04","0.0678
2898 / 0 / 6051
 $\leq$ 1e-04","0.0510
2730 / 0 / 6219
 $\leq$ 1e-04","0.0437
2772 / 0 / 6177
 $\leq$ 1e-04","0.0051
3578 / 21 / 5350
 $\leq$ 1e-04","0.0008
3696 / 21 / 5232
 $\leq$ 1e-04",-,"-0.1088
4788 / 0 / 4161
 $\leq$ 1e-04","-0.1186
4361 / 0 / 4588
 $\leq$ 1e-04","-0.1903
5026 / 0 / 3923
 $\leq$ 1e-04","-0.1935
5583 / 0 / 3366
 $\leq$ 1e-04"
Neural|STL–SN,"0.1879
2512 / 0 / 6437
 $\leq$ 1e-04","0.1791
2519 / 0 / 6430
 $\leq$ 1e-04","0.1766
2509 / 0 / 6440
 $\leq$ 1e-04","0.1598
2359 / 0 / 6590
 $\leq$ 1e-04","0.1525
2392 / 0 / 6557
 $\leq$ 1e-04","0.1140
4052 / 0 / 4897
 $\leq$ 1e-04","0.1097
4124 / 0 / 4825
 $\leq$ 1e-04","0.1088
4161 / 0 / 4788
 $\leq$ 1e-04",-,"-0.0098
3566 / 0 / 5383
 $\leq$ 1e-04","-0.0815
5332 / 0 / 3617
 $\leq$ 1e-04","-0.0846
6572 / 0 / 2377
 $\leq$ 1e-04"
Neural|STL–AC,"0.1976
2625 / 0 / 6324
 $\leq$ 1e-04","0.1889
3088 / 0 / 5861
 $\leq$ 1e-04","0.1864
3130 / 0 / 5819
 $\leq$ 1e-04","0.1696
2480 / 0 / 6469
 $\leq$ 1e-04","0.1623
2609 / 0 / 6340
 $\leq$ 1e-04","0.1238
4488 / 0 / 4461
 $\leq$ 1e-04","0.1194
4561 / 0 / 4388
 $\leq$ 1e-04","0.1186
4588 / 0 / 4361
 $\leq$ 1e-04","0.0098
5383 / 0 / 3566
 $\leq$ 1e-04",-,"-0.0717
6283 / 0 / 2666
 $\leq$ 1e-04","-0.0749
6549 / 0 / 2400
 $\leq$ 1e-04"
