comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,Neural|Direct,ML|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0213
1889 / 0 / 1111
 $\leq$ 1e-04","-0.0256
1923 / 0 / 1077
 $\leq$ 1e-04","-0.0456
1825 / 0 / 1175
 $\leq$ 1e-04","-0.0554
1848 / 0 / 1152
 $\leq$ 1e-04","-0.0932
2071 / 0 / 929
 $\leq$ 1e-04","-0.0953
2072 / 0 / 928
 $\leq$ 1e-04","-0.0986
2077 / 0 / 923
 $\leq$ 1e-04","-0.1814
2151 / 0 / 849
 $\leq$ 1e-04","-0.1904
2131 / 0 / 869
 $\leq$ 1e-04","-0.2489
2139 / 0 / 861
 $\leq$ 1e-04","-0.2553
2198 / 0 / 802
 $\leq$ 1e-04"
Stat|STL–SN,"0.0213
1111 / 0 / 1889
 $\leq$ 1e-04",-,"-0.0043
1821 / 0 / 1179
 $\leq$ 1e-04","-0.0243
1202 / 0 / 1798
 $\leq$ 1e-04","-0.0341
1363 / 0 / 1637
 $\leq$ 1e-04","-0.0719
2041 / 0 / 959
 $\leq$ 1e-04","-0.0740
2038 / 0 / 962
 $\leq$ 1e-04","-0.0772
2050 / 0 / 950
 $\leq$ 1e-04","-0.1601
2127 / 0 / 873
 $\leq$ 1e-04","-0.1691
1971 / 0 / 1029
 $\leq$ 1e-04","-0.2276
2007 / 0 / 993
 $\leq$ 1e-04","-0.2340
2124 / 0 / 876
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0256
1077 / 0 / 1923
 $\leq$ 1e-04","0.0043
1179 / 0 / 1821
 $\leq$ 1e-04",-,"-0.0200
1122 / 0 / 1878
 $\leq$ 1e-04","-0.0298
1248 / 0 / 1752
 $\leq$ 1e-04","-0.0676
2019 / 0 / 981
 $\leq$ 1e-04","-0.0697
2020 / 0 / 980
 $\leq$ 1e-04","-0.0730
2025 / 0 / 975
 $\leq$ 1e-04","-0.1558
2116 / 0 / 884
 $\leq$ 1e-04","-0.1648
1958 / 0 / 1042
 $\leq$ 1e-04","-0.2233
1995 / 0 / 1005
 $\leq$ 1e-04","-0.2297
2126 / 0 / 874
 $\leq$ 1e-04"
Stat|STL–AC,"0.0456
1175 / 0 / 1825
 $\leq$ 1e-04","0.0243
1798 / 0 / 1202
 $\leq$ 1e-04","0.0200
1878 / 0 / 1122
 $\leq$ 1e-04",-,"-0.0098
1847 / 0 / 1153
 $\leq$ 1e-04","-0.0476
2088 / 0 / 912
 $\leq$ 1e-04","-0.0497
2088 / 0 / 912
 $\leq$ 1e-04","-0.0529
2091 / 0 / 909
 $\leq$ 1e-04","-0.1358
2199 / 0 / 801
 $\leq$ 1e-04","-0.1448
2156 / 0 / 844
 $\leq$ 1e-04","-0.2033
2103 / 0 / 897
 $\leq$ 1e-04","-0.2097
2219 / 0 / 781
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0554
1152 / 0 / 1848
 $\leq$ 1e-04","0.0341
1637 / 0 / 1363
 $\leq$ 1e-04","0.0298
1752 / 0 / 1248
 $\leq$ 1e-04","0.0098
1153 / 0 / 1847
 $\leq$ 1e-04",-,"-0.0377
2063 / 0 / 937
 $\leq$ 1e-04","-0.0399
2071 / 0 / 929
 $\leq$ 1e-04","-0.0431
2088 / 0 / 912
 $\leq$ 1e-04","-0.1260
2208 / 0 / 792
 $\leq$ 1e-04","-0.1350
2127 / 0 / 873
 $\leq$ 1e-04","-0.1935
2106 / 0 / 894
 $\leq$ 1e-04","-0.1999
2224 / 0 / 776
 $\leq$ 1e-04"
Transformer|Direct,"0.0932
929 / 0 / 2071
 $\leq$ 1e-04","0.0719
959 / 0 / 2041
 $\leq$ 1e-04","0.0676
981 / 0 / 2019
 $\leq$ 1e-04","0.0476
912 / 0 / 2088
 $\leq$ 1e-04","0.0377
937 / 0 / 2063
 $\leq$ 1e-04",-,"-0.0021
1781 / 12 / 1207
 $\leq$ 1e-04","-0.0054
1804 / 17 / 1179
 $\leq$ 1e-04","-0.0882
1589 / 0 / 1411
 $\leq$ 1e-04","-0.0972
1434 / 0 / 1566
0.0012","-0.1557
1695 / 0 / 1305
 $\leq$ 1e-04","-0.1622
1893 / 0 / 1107
 $\leq$ 1e-04"
Neural|Direct,"0.0953
928 / 0 / 2072
 $\leq$ 1e-04","0.0740
962 / 0 / 2038
 $\leq$ 1e-04","0.0697
980 / 0 / 2020
 $\leq$ 1e-04","0.0497
912 / 0 / 2088
 $\leq$ 1e-04","0.0399
929 / 0 / 2071
 $\leq$ 1e-04","0.0021
1207 / 12 / 1781
 $\leq$ 1e-04",-,"-0.0033
1822 / 12 / 1166
 $\leq$ 1e-04","-0.0861
1576 / 0 / 1424
 $\leq$ 1e-04","-0.0951
1412 / 0 / 1588
0.0072","-0.1536
1690 / 0 / 1310
 $\leq$ 1e-04","-0.1601
1880 / 0 / 1120
 $\leq$ 1e-04"
ML|Direct,"0.0986
923 / 0 / 2077
 $\leq$ 1e-04","0.0772
950 / 0 / 2050
 $\leq$ 1e-04","0.0730
975 / 0 / 2025
 $\leq$ 1e-04","0.0529
909 / 0 / 2091
 $\leq$ 1e-04","0.0431
912 / 0 / 2088
 $\leq$ 1e-04","0.0054
1179 / 17 / 1804
 $\leq$ 1e-04","0.0033
1166 / 12 / 1822
 $\leq$ 1e-04",-,"-0.0829
1556 / 0 / 1444
 $\leq$ 1e-04","-0.0918
1399 / 0 / 1601
0.0492","-0.1504
1678 / 0 / 1322
 $\leq$ 1e-04","-0.1568
1852 / 0 / 1148
 $\leq$ 1e-04"
Neural|STL–SN,"0.1814
849 / 0 / 2151
 $\leq$ 1e-04","0.1601
873 / 0 / 2127
 $\leq$ 1e-04","0.1558
884 / 0 / 2116
 $\leq$ 1e-04","0.1358
801 / 0 / 2199
 $\leq$ 1e-04","0.1260
792 / 0 / 2208
 $\leq$ 1e-04","0.0882
1411 / 0 / 1589
 $\leq$ 1e-04","0.0861
1424 / 0 / 1576
 $\leq$ 1e-04","0.0829
1444 / 0 / 1556
 $\leq$ 1e-04",-,"-0.0090
1246 / 0 / 1754
 $\leq$ 1e-04","-0.0675
1758 / 0 / 1242
 $\leq$ 1e-04","-0.0739
2190 / 0 / 810
 $\leq$ 1e-04"
Neural|STL–AC,"0.1904
869 / 0 / 2131
 $\leq$ 1e-04","0.1691
1029 / 0 / 1971
 $\leq$ 1e-04","0.1648
1042 / 0 / 1958
 $\leq$ 1e-04","0.1448
844 / 0 / 2156
 $\leq$ 1e-04","0.1350
873 / 0 / 2127
 $\leq$ 1e-04","0.0972
1566 / 0 / 1434
0.0012","0.0951
1588 / 0 / 1412
0.0072","0.0918
1601 / 0 / 1399
0.0492","0.0090
1754 / 0 / 1246
 $\leq$ 1e-04",-,"-0.0585
2088 / 0 / 912
 $\leq$ 1e-04","-0.0649
2165 / 0 / 835
 $\leq$ 1e-04"
ML|STL–AC,"0.2489
861 / 0 / 2139
 $\leq$ 1e-04","0.2276
993 / 0 / 2007
 $\leq$ 1e-04","0.2233
1005 / 0 / 1995
 $\leq$ 1e-04","0.2033
897 / 0 / 2103
 $\leq$ 1e-04","0.1935
894 / 0 / 2106
 $\leq$ 1e-04","0.1557
1305 / 0 / 1695
 $\leq$ 1e-04","0.1536
1310 / 0 / 1690
 $\leq$ 1e-04","0.1504
1322 / 0 / 1678
 $\leq$ 1e-04","0.0675
1242 / 0 / 1758
 $\leq$ 1e-04","0.0585
912 / 0 / 2088
 $\leq$ 1e-04",-,"-0.0064
1790 / 0 / 1210
 $\leq$ 1e-04"
ML|STL–SN,"0.2553
802 / 0 / 2198
 $\leq$ 1e-04","0.2340
876 / 0 / 2124
 $\leq$ 1e-04","0.2297
874 / 0 / 2126
 $\leq$ 1e-04","0.2097
781 / 0 / 2219
 $\leq$ 1e-04","0.1999
776 / 0 / 2224
 $\leq$ 1e-04","0.1622
1107 / 0 / 1893
 $\leq$ 1e-04","0.1601
1120 / 0 / 1880
 $\leq$ 1e-04","0.1568
1148 / 0 / 1852
 $\leq$ 1e-04","0.0739
810 / 0 / 2190
 $\leq$ 1e-04","0.0649
835 / 0 / 2165
 $\leq$ 1e-04","0.0064
1210 / 0 / 1790
 $\leq$ 1e-04","If in bold, then
p-value < 0.05"
