comparates,Stat|Direct,Stat|STL–SN,Transformer|STL–SN,Stat|STL–AC,Transformer|STL–AC,Neural|Direct,ML|Direct,Transformer|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–SN,ML|STL–AC
Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0153
1945 / 0 / 1045
 $\leq$ 1e-04","-0.0281
1993 / 0 / 997
 $\leq$ 1e-04","-0.0559
1912 / 0 / 1078
 $\leq$ 1e-04","-0.0596
1929 / 0 / 1061
 $\leq$ 1e-04","-0.1269
2123 / 3 / 864
 $\leq$ 1e-04","-0.1347
2140 / 2 / 848
 $\leq$ 1e-04","-0.1369
2145 / 2 / 843
 $\leq$ 1e-04","-0.2054
2245 / 0 / 745
 $\leq$ 1e-04","-0.2205
2237 / 0 / 753
 $\leq$ 1e-04","-0.2931
2305 / 0 / 685
 $\leq$ 1e-04","-0.3084
2288 / 0 / 702
 $\leq$ 1e-04"
Stat|STL–SN,"0.0153
1045 / 0 / 1945
 $\leq$ 1e-04",-,"-0.0129
1931 / 0 / 1059
 $\leq$ 1e-04","-0.0406
1429 / 0 / 1561
0.0472","-0.0443
1470 / 0 / 1520
0.3225","-0.1116
2192 / 0 / 798
 $\leq$ 1e-04","-0.1195
2198 / 0 / 792
 $\leq$ 1e-04","-0.1217
2179 / 0 / 811
 $\leq$ 1e-04","-0.1902
2332 / 0 / 658
 $\leq$ 1e-04","-0.2053
2158 / 0 / 832
 $\leq$ 1e-04","-0.2778
2369 / 0 / 621
 $\leq$ 1e-04","-0.2931
2228 / 0 / 762
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0281
997 / 0 / 1993
 $\leq$ 1e-04","0.0129
1059 / 0 / 1931
 $\leq$ 1e-04",-,"-0.0278
1172 / 0 / 1818
 $\leq$ 1e-04","-0.0315
1206 / 0 / 1784
 $\leq$ 1e-04","-0.0987
2177 / 0 / 813
 $\leq$ 1e-04","-0.1066
2181 / 0 / 809
 $\leq$ 1e-04","-0.1088
2181 / 0 / 809
 $\leq$ 1e-04","-0.1773
2318 / 0 / 672
 $\leq$ 1e-04","-0.1924
2130 / 0 / 860
 $\leq$ 1e-04","-0.2650
2380 / 0 / 610
 $\leq$ 1e-04","-0.2802
2223 / 0 / 767
 $\leq$ 1e-04"
Stat|STL–AC,"0.0559
1078 / 0 / 1912
 $\leq$ 1e-04","0.0406
1561 / 0 / 1429
0.0472","0.0278
1818 / 0 / 1172
 $\leq$ 1e-04",-,"-0.0037
1640 / 0 / 1350
 $\leq$ 1e-04","-0.0710
2179 / 0 / 811
 $\leq$ 1e-04","-0.0788
2187 / 0 / 803
 $\leq$ 1e-04","-0.0810
2172 / 0 / 818
 $\leq$ 1e-04","-0.1495
2315 / 0 / 675
 $\leq$ 1e-04","-0.1646
2347 / 0 / 643
 $\leq$ 1e-04","-0.2372
2348 / 0 / 642
 $\leq$ 1e-04","-0.2525
2310 / 0 / 680
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0596
1061 / 0 / 1929
 $\leq$ 1e-04","0.0443
1520 / 0 / 1470
0.3225","0.0315
1784 / 0 / 1206
 $\leq$ 1e-04","0.0037
1350 / 0 / 1640
 $\leq$ 1e-04",-,"-0.0672
2165 / 0 / 825
 $\leq$ 1e-04","-0.0751
2169 / 0 / 821
 $\leq$ 1e-04","-0.0773
2152 / 0 / 838
 $\leq$ 1e-04","-0.1458
2311 / 0 / 679
 $\leq$ 1e-04","-0.1609
2311 / 0 / 679
 $\leq$ 1e-04","-0.2335
2331 / 0 / 659
 $\leq$ 1e-04","-0.2487
2314 / 0 / 676
 $\leq$ 1e-04"
Neural|Direct,"0.1269
864 / 3 / 2123
 $\leq$ 1e-04","0.1116
798 / 0 / 2192
 $\leq$ 1e-04","0.0987
813 / 0 / 2177
 $\leq$ 1e-04","0.0710
811 / 0 / 2179
 $\leq$ 1e-04","0.0672
825 / 0 / 2165
 $\leq$ 1e-04",-,"-0.0079
1969 / 9 / 1012
 $\leq$ 1e-04","-0.0101
1773 / 9 / 1208
 $\leq$ 1e-04","-0.0786
1613 / 0 / 1377
 $\leq$ 1e-04","-0.0937
1382 / 0 / 1608
0.0463","-0.1662
1999 / 0 / 991
 $\leq$ 1e-04","-0.1815
1851 / 0 / 1139
 $\leq$ 1e-04"
ML|Direct,"0.1347
848 / 2 / 2140
 $\leq$ 1e-04","0.1195
792 / 0 / 2198
 $\leq$ 1e-04","0.1066
809 / 0 / 2181
 $\leq$ 1e-04","0.0788
803 / 0 / 2187
 $\leq$ 1e-04","0.0751
821 / 0 / 2169
 $\leq$ 1e-04","0.0079
1012 / 9 / 1969
 $\leq$ 1e-04",-,"-0.0022
1767 / 12 / 1211
 $\leq$ 1e-04","-0.0707
1515 / 0 / 1475
 $\leq$ 1e-04","-0.0858
1321 / 0 / 1669
0.8833","-0.1584
1945 / 0 / 1045
 $\leq$ 1e-04","-0.1736
1795 / 0 / 1195
 $\leq$ 1e-04"
Transformer|Direct,"0.1369
843 / 2 / 2145
 $\leq$ 1e-04","0.1217
811 / 0 / 2179
 $\leq$ 1e-04","0.1088
809 / 0 / 2181
 $\leq$ 1e-04","0.0810
818 / 0 / 2172
 $\leq$ 1e-04","0.0773
838 / 0 / 2152
 $\leq$ 1e-04","0.0101
1208 / 9 / 1773
 $\leq$ 1e-04","0.0022
1211 / 12 / 1767
 $\leq$ 1e-04",-,"-0.0685
1507 / 0 / 1483
 $\leq$ 1e-04","-0.0836
1346 / 0 / 1644
0.8269","-0.1562
1908 / 0 / 1082
 $\leq$ 1e-04","-0.1714
1771 / 0 / 1219
 $\leq$ 1e-04"
Neural|STL–SN,"0.2054
745 / 0 / 2245
 $\leq$ 1e-04","0.1902
658 / 0 / 2332
 $\leq$ 1e-04","0.1773
672 / 0 / 2318
 $\leq$ 1e-04","0.1495
675 / 0 / 2315
 $\leq$ 1e-04","0.1458
679 / 0 / 2311
 $\leq$ 1e-04","0.0786
1377 / 0 / 1613
 $\leq$ 1e-04","0.0707
1475 / 0 / 1515
 $\leq$ 1e-04","0.0685
1483 / 0 / 1507
 $\leq$ 1e-04",-,"-0.0151
1093 / 0 / 1897
 $\leq$ 1e-04","-0.0877
2356 / 0 / 634
 $\leq$ 1e-04","-0.1029
1982 / 0 / 1008
 $\leq$ 1e-04"
Neural|STL–AC,"0.2205
753 / 0 / 2237
 $\leq$ 1e-04","0.2053
832 / 0 / 2158
 $\leq$ 1e-04","0.1924
860 / 0 / 2130
 $\leq$ 1e-04","0.1646
643 / 0 / 2347
 $\leq$ 1e-04","0.1609
679 / 0 / 2311
 $\leq$ 1e-04","0.0937
1608 / 0 / 1382
0.0463","0.0858
1669 / 0 / 1321
0.8833","0.0836
1644 / 0 / 1346
0.8269","0.0151
1897 / 0 / 1093
 $\leq$ 1e-04",-,"-0.0726
2245 / 0 / 745
 $\leq$ 1e-04","-0.0878
2229 / 0 / 761
 $\leq$ 1e-04"
